,Experiment,Average,STD
0,term-loop-1,1.107368564605713,0.0014575127273065097
1,term-loop-2,0.7648427724838257,0.0013494483761144877
2,audio-compr,1.833686113357544,0.4193919225557384
3,euclid,5.345843648910522,1.727773534442712
4,greater,1.4183355569839478,0.5076432992369153
5,smaller,1.5270590782165527,0.28141188086484203
6,disjunction,1.457938814163208,0.6524482426877383
7,parallel,1.8278949737548829,0.589517130849734
8,quadratic,6.5495272397995,1.594479345954546
9,cubic,4.225552368164062,0.8020731896812197
10,nlr_cond,3.190893268585205,1.0705305985269846
11,conic,oot,oot
